key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-1120387463,Harvey Mudd College at SemEval-2019 task 4: The D.X. Beaumont hyperpartisan news detector,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,967-970,"Amason, E. and Palanker, J. and Shen, M.C. and Medero, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118529322&partnerID=40&md5=ff09ac4eb314852822d067d59b1f96cf,,,,"We use the 600 hand-labelled articles from SemEval Task 4 (Kiesel et al., 2019) to hand-tune a classifier with 3000 features for the Hyperpartisan News Detection task. Our final system uses features based on bag-of-words (BoW), analysis of the article title, language complexity, and simple sentiment analysis in a naive Bayes classifier. We trained our final system on the 600,000 articles labelled by publisher. Our final system has an accuracy of 0.653 on the hand-labeled test set. The most effective features are the Automated Readability Index and the presence of certain words in the title. This suggests that hyperpartisan writing uses a distinct writing style, especially in the title. © 2019 Association for Computational Linguistics",included,,Classifiers;Semantics;Bag of words;Detection tasks;Feature-based;Harvey mudd colleges;Language complexity;Naive Bayes classifiers;Sentiment analysis;Simple++;System use;Test sets,,
rayyan-1120387464,SemEval-2019 task 4: Hyperpartisan news detection,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,829-839,"Kiesel, J. and Mestre, M. and Shukla, R. and Vincent, E. and Adineh, P. and Corney, D. and Stein, B. and Potthast, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083032765&partnerID=40&md5=993158caf116bbfa0006806a44b7f665,,,,"Hyperpartisan news is news that takes an extreme left-wing or right-wing standpoint. If one is able to reliably compute this meta information, news articles may be automatically tagged, this way encouraging or discouraging readers to consume the text. It is an open question how successfully hyperpartisan news detection can be automated, and the goal of this SemEval task was to shed light on the state of the art. We developed new resources for this purpose, including a manually labeled dataset with 1,273 articles, and a second dataset with 754,000 articles, labeled via distant supervision. The interest of the research community in our task exceeded all our expectations: The datasets were downloaded about 1,000 times, 322 teams registered, of which 184 configured a virtual machine on our shared task cloud service TIRA, of which in turn 42 teams submitted a valid run. The best team achieved an accuracy of 0.822 on a balanced sample (yes: no hyperpartisan) drawn from the manually tagged corpus; an ensemble of the submitted systems increased the accuracy by 0.048. © 2019 Association for Computational Linguistics",included,,Cloud services;Labeled dataset;Meta information;News articles;Research communities;State of the art,,
rayyan-1120387465,Hyperpartisan news classification with elmo and bias feature,2021,,,Journal of Information Science and Engineering,,37,5,1177-1186,"HUANG, G.K.W. and LEE, J.C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115976124&doi=10.6688%2fJISE.202109_37%285%29.0013&partnerID=40&md5=6d58a84e596c28218913a9921679c096,,,,"Hyperpartisan news is a kind of news riddled with twisted, untruthful, and often extremely one-sided. This kind of news can spread more successfully than the others. One of the obvious traits of hyperpartisan news content is that it can mimic regular news articles. Most are favour fake news detection algorithms, and there is less research conducted for hyperpartisan news. This research aims to perform classification on the hyperpartisan news using ELMo and bias features. ELMo was used to develop a classification model to perform classification on the BuzzFeed Webis News Corpus dataset. The model uses ELMo embedding with bias word score generated from bias lexicon to train a deep learning model using Tensorflow and Keras. We had compared the final result with two proposed baseline models that utilized ELMo from other research. The discussion section further investigated the contribution of ELMo and bias feature in the hyperpartisan task. © 2021 Institute of Information Science. All rights reserved.",included,10.6688/JISE.202109_37(5).0013,Bias detection;Classification;ELMo;Hyperpartisan;Natural language processing;Classification (of information);Deep learning;Classification models;Detection algorithm;Embeddings;Model use;News articles;News content;News corpora;Natural language processing systems;Bias (Epidemiology),,
rayyan-1120387466,Team Kit Kittredge at SemEval-2019 task 4: LSTM voting system,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,1021-1025,"Cramerus, R. and Scheffler, T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118569817&partnerID=40&md5=8594c7fda8fa9c964375e943fb424b42,,,,"This paper describes the approach of team Kit Kittredge to SemEval 2019 Task 4: Hyperpartisan News Detection. The goal was binary classification of news articles into the categories of “biased” or “unbiased”. We had two software submissions: one a simple bag-of-words model, and the second an LSTM (Long Short Term Memory) neural network, which was trained on a subset of the original dataset selected by a voting system of other LSTMs. This method did not prove much more successful than the baseline, however, due to the models' tendency to learn publisher-specific traits instead of general bias. © 2019 Association for Computational Linguistics",included,,Computational linguistics;Information retrieval;Semantics;Bag-of-words models;Binary classification;Learn+;Neural-networks;News articles;Simple++;Voting systems;Long short-term memory,,
rayyan-1120387467,Team Peter-Parker at SemEval-2019 task 4: BERT-based method in hyperpartisan news detection,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,1037-1040,"Ning, Z. and Lin, Y. and Zhong, R.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118576507&partnerID=40&md5=b1a3ac34fc402876a1adde2c45b00f2c,,,,"This paper describes the team peter-parker's participation in Hyperpartisan News Detection task (SemEval-2019 Task 4), which requires to classify whether a given news article is bias or not. We decided to use Java to do the article parser and the BERT model to do the bias analysis and prediction. Furthermore, we will show experiment results with analysis. © 2019 Association for Computational Linguistics",included,,Detection tasks;News articles,,
rayyan-1120387468,Fermi at SemEval-2019 task 4: The Sarah-Jane-Smith Hyperpartisan news detector,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,954-956,"Chakravartula, N. and Indurthi, V. and Syed, B.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118549369&partnerID=40&md5=bc430fef2bd24f0bc3274ebac2bc2374,,,,"This paper describes our system (Fermi) for Task 4: Hyper-partisan News detection of SemEval-2019. We use simple text classification algorithms by transforming the input features to a reduced feature set. We aim to find the right number of features useful for efficient classification and explore multiple training models to evaluate the performance of these text classification algorithms. Our team - Fermi's model achieved an accuracy of 59.10% and an F1 score of 69.5% on the official test data set. In this paper, we provide a detailed description of the approach as well as the results obtained in the task. © 2019 Association for Computational Linguistics",included,,Classification (of information);Computational linguistics;Semantics;Statistical tests;Data set;F1 scores;Features sets;Input features;Performance;Simple++;Test data;Training model;Text processing,,
rayyan-1120387469,Harvey Mudd College at SemEval-2019 task 4: The Carl Kolchak Hyperpartisan News Detector,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,957-961,"Chen, C. and Park, C. and Dwyer, J. and Medero, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118530519&partnerID=40&md5=b7f94db5e352cc4f216cdb6d1440b9cb,,,,"We use various natural processing and machine learning methods to perform the Hyperpartisan News Detection task. In particular, some of the features we look at are bag-of-words features, the title's length, number of capitalized words in the title, and the sentiment of the sentences and the title. By adding these features, we see improvements in our evaluation metrics compared to the baseline values. We find that sentiment analysis helps improve our evaluation metrics. We do not see a benefit from feature selection. Overall, our system achieves an accuracy of 0.739, finishing 18th out of 42 submissions to the task. From our work, it is evident that both title features and sentiment of articles are meaningful to the hyperpartisanship of news articles. © 2019 Association for Computational Linguistics",included,,Computational linguistics;Learning systems;Semantics;Bag of words;Baseline values;Detection tasks;Evaluation metrics;Features selection;Harvey mudd colleges;Machine learning methods;News articles;Sentiment analysis,,
rayyan-1120387470,Rouletabille at SemEval-2019 task 4: Neural network baseline for identification of hyperpartisan publishers,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,981-984,"Moreno, J.G. and Pitarch, Y. and Pinel-Sauvagnat, K. and Hubert, G.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101432037&partnerID=40&md5=cd0ca33281546952d20f2732f7e9866b,,,,This paper describes the Rouletabille participation to the Hyperpartisan News Detection task. We propose the use of different text classification methods for this task. Preliminary experiments using a similar collection used in Potthast et al. (2018) show that neural-based classification methods reach state-of-the art results. Our final submission is composed of a unique run that ranks among all runs at 3/49 position for the by-publisher test dataset and 43/96 for the by-article test dataset in terms of Accuracy. © 2019 Association for Computational Linguistics,included,,Computational linguistics;Semantics;Statistical tests;Text processing;Classification methods;Detection tasks;Neural-networks;State of the art;Text classification methods;Classification (of information);Nerve Net;Neural Networks (Computer),,
rayyan-1120387471,Team yeon-zi at SemEval-2019 task 4: Hyperpartisan news detection by de-noising weakly-labeled data,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,1052-1056,"Lee, N. and Liu, Z. and Fung, P.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084291759&partnerID=40&md5=fa18afb8000e94fb45b1a9b40b516b1d,,,,This paper describes our system submitted to SemEval-2019 Task 4: Hyperpartisan News Detection. We focus on removing the inherent noise in the hyperpartisanship dataset from both data-level and model-level by leveraging semi-supervised pseudo-labels and the state-of-the-art BERT model. Our model achieves 75.8% accuracy in the final by-article dataset without ensemble learning. © 2019 Association for Computational Linguistics,included,,Data level;De-noising;Ensemble learning;Inherent noise;Labeled data;Semi-supervised;State of the art,,
rayyan-1120387472,Harvey Mudd College at SemEval-2019 task 4: The Clint Buchanan hyperpartisan news detector,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,962-966,"Drissi, M. and S and oval, P. and Ojha, V. and Medero, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098818688&partnerID=40&md5=f0779f67d62bc0b5d0b22a787d0a1d01,,,,"We investigate the recently developed Bidirectional Encoder Representations from Transformers (BERT) model (Devlin et al., 2018) for the hyperpartisan news detection task. Using a subset of hand-labeled articles from SemEval as a validation set, we test the performance of different parameters for BERT models. We find that accuracy from two different BERT models using different proportions of the articles is consistently high, with our best-performing model on the validation set achieving 85% accuracy and the best-performing model on the test set achieving 77%. We further determined that our model exhibits strong consistency, labeling independent slices of the same article identically. Finally, we find that randomizing the order of word pieces dramatically reduces validation accuracy (to approximately 60%), but that shuffling groups of four or more word pieces maintains an accuracy of about 80%, indicating the model mainly gains value from local context. © 2019 Association for Computational Linguistics",included,,Detection tasks;Different proportions;Gain values;Harvey mudd colleges;Labelings;Performance;Strong consistency;Test sets;Transformer modeling;Validation sets,,
rayyan-1120387473,Fine-grained Classification of Political Bias in German News: A Data Set and Initial Experiments,2021,,,"WOAH 2021 - 5th Workshop on Online Abuse and Harms, Proceedings of the Workshop",,,,121-131,"Aksenov, D. and Bourgonje, P. and Zaczynska, K. and Ostendorff, M. and Moreno-Schneider, J. and Rehm, G.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130502864&partnerID=40&md5=a259aec1fd83912c76cf2e04942c0963,,,,"We present a data set consisting of German news articles labeled for political bias on a fivepoint scale in a semi-supervised way. While earlier work on hyperpartisan news detection uses binary classification (i. e., hyperpartisan or not) and English data, we argue for a more fine-grained classification, covering the full political spectrum (i. e., far-left, left, centre, right, far-right) and for extending research to German data. Understanding political bias helps in accurately detecting hate speech and online abuse. We experiment with different classification methods for political bias detection. Their comparatively low performance (a macro-F1 of 43 for our best setup, compared to a macro-F1 of 79 for the binary classification task) underlines the need for more (balanced) data annotated in a fine-grained way.  © 2021 Association for Computational Linguistics.",included,,Computational linguistics;Binary classification;Classification methods;Classification tasks;Data set;Fine grained;News articles;Performance;Semi-supervised;Spectra's;Classification (of information);Bias (Epidemiology);Cereals,,
rayyan-1120387474,Team JACK RYDER at SemEval-2019 task 4: Using BERT representations for detecting hyperpartisan news,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,1012-1015,"Shaprin, D. and da San Martino, G. and Barrón-Cedeño, A. and Nakov, P.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095486893&partnerID=40&md5=d0478524c4a31e7ff3be8cffa96309e7,,,,"We describe the system submitted by the Jack Ryder team to SemEval-2019 Task 4 on Hyperpartisan News Detection. The task asked participants to predict whether a given article is hyperpartisan, i.e., extreme-left or extreme-right. We propose an approach based on BERT with fine-tuning, which was ranked 7th out 28 teams on the distantly supervised dataset, where all articles from a hyperpartisan/non-hyperpartisan news outlet are considered to be hyperpartisan/non-hyperpartisan. On a manually annotated test dataset, where human annotators double-checked the labels, we were ranked 29th out of 42 teams. © 2019 Association for Computational Linguistics",included,,Semantics;Fine tuning;Statistical tests,,
rayyan-1120387475,Tintin at SemEval-2019 task 4: Detecting hyperpartisan news article with only simple tokens,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,1062-1066,"Bestgen, Y.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083036661&partnerID=40&md5=3c2bc6ecfa5d97d3a11ad1e05d98d6ec,,,,"Tintin, the system proposed by the CECL for the Hyperpartisan News Detection task of SemEval 2019, is exclusively based on the tokens that make up the documents and a standard supervised learning procedure. It obtained very contrasting results: poor on the main task, but much more effective at distinguishing documents published by hyperpartisan media outlets from unbiased ones, as it ranked first. An analysis of the most important features highlighted the positive aspects, but also some potential limitations of the approach. © 2019 Association for Computational Linguistics",included,,Detection tasks;Important features;Main tasks;Media outlets;News articles;Simple++,,
rayyan-1120387476,Multi-task ordinal regression for jointly predicting the trustworthiness and the leading political ideology of news media,2019,,,NAACL HLT 2019 - 2019 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies - Proceedings of the Conference,,1,,2109-2116,"Baly, R. and Karadzhov, G. and Saleh, A. and Glass, J. and Nakov, P.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070522837&partnerID=40&md5=732f03aa281017b2c5dfeba967a85a2a,,,,"In the context of fake news, bias, and propaganda, we study two important but relatively under-explored problems: (i) trustworthiness estimation (on a 3-point scale) and (ii) political ideology detection (left/right bias on a 7-point scale) of entire news outlets, as opposed to evaluating individual articles. In particular, we propose a multi-task ordinal regression framework that models the two problems jointly. This is motivated by the observation that hyper-partisanship is often linked to low trustworthiness, e.g., appealing to emotions rather than sticking to the facts, while center media tend to be generally more impartial and trustworthy. We further use several auxiliary tasks, modeling centrality, hyper-partisanship, as well as left-vs.-right bias on a coarse-grained scale. The evaluation results show sizable performance gains by the joint models over models that target the problems in isolation. © 2019 Association for Computational Linguistics",included,,Coarse-grained;Evaluation results;Joint models;News media;Ordinal regression;Performance Gain;Political ideologies;Computational linguistics,,
rayyan-1120387477,Team QCRI-MIT at SemEval-2019 task 4: Propaganda analysis meets hyperpartisan news detection,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,1041-1046,"Saleh, A. and Baly, R. and Barrón-Cedeño, A. and da San Martino, G. and Mohtarami, M. and Nakov, P. and Glass, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118555311&partnerID=40&md5=e6047b63b2432068572d1a4a6b0e35db,,,,"We describe our submission to SemEval-2019 Task 4 on Hyperpartisan News Detection. We rely on a variety of engineered features originally used to detect propaganda. This is based on the assumption that biased messages are propagandistic and promote a particular political cause or viewpoint. In particular, we trained a logistic regression model with features ranging from simple bag of words to vocabulary richness and text readability. Our system achieved 72.9% accuracy on the manually annotated testset, and 60.8% on the test data that was obtained with distant supervision. Additional experiments showed that significant performance gains can be achieved with better feature pre-processing. © 2019 Association for Computational Linguistics",included,,Regression analysis;Additional experiments;Bag of words;Logistic Regression modeling;Performance Gain;Pre-processing;Simple++;Test data;Test sets;Semantics;Propaganda,,
rayyan-1120387478,Tom Jumbo-Grumbo at SemEval-2019 task 4: Hyperpartisan news detection with GloVe vectors and SVM,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,1067-1071,"Yeh, C.-L. and Loni, B. and Schuth, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105932901&partnerID=40&md5=9b3672ba35eb7ad6c543bee5d8fb793e,,,,"In this paper, we describe our attempt to learn bias from news articles. From our experiments, it seems that although there is a correlation between publisher bias and article bias, it is challenging to learn bias directly from the publisher labels. On the other hand, using few manually-labeled samples can increase the accuracy metric from around 60% to near 80%. Our system is computationally inexpensive and uses several standard document representations in NLP to train an SVM or LR classifier. The system ranked 4th in the SemEval-2019 task. The code is released for reproducibility. © 2019 Association for Computational Linguistics",included,,Document Representation;Learn+;News articles;Reproducibilities;Standard documents,,
rayyan-1120387479,Quantitative and qualitative analysis of linking patterns of mainstream and partisan online news media in Central Europe,2022,,,Online Information Review,,46,5,954-973,"Hrckova, A. and Moro, R. and Srba, I. and Bielikova, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120500826&doi=10.1108%2fOIR-10-2020-0441&partnerID=40&md5=889344e80a6e4cd183367bbbc3555264,,,,"Purpose: Partisan news media, which often publish extremely biased, one-sided or even false news, are gaining popularity world-wide and represent a major societal issue. Due to a growing number of such media, a need for automatic detection approaches is of high demand. Automatic detection relies on various indicators (e.g. content characteristics) to identify new partisan media candidates and to predict their level of partisanship. The aim of the research is to investigate to a deeper extent whether it would be appropriate to rely on the hyperlinks as possible indicators for better automatic partisan news media detection. Design/methodology/approach: The authors utilized hyperlink network analysis to study the hyperlinks of partisan and mainstream media. The dataset involved the hyperlinks of 18 mainstream media and 15 partisan media in Slovakia and Czech Republic. More than 171 million domain pairs of inbound and outbound hyperlinks of selected online news media were collected with Ahrefs tool, analyzed and visualized with Gephi software. Additionally, 300 articles covering COVID-19 from both types of media were selected for content analysis of hyperlinks to verify the reliability of quantitative analysis and to provide more detailed analysis. Findings: The authors conclude that hyperlinks are reliable indicators of media affinity and linking patterns could contribute to partisan news detection. The authors found out that especially the incoming links with dofollow attribute to news websites are reliable indicators for assessing the type of media, as partisan media rarely receive links with dofollow attribute from mainstream media. The outgoing links are not such reliable indicators as both mainstream and partisan media link to mainstream sources similarly. Originality/value: In contrast to the extensive amount of research aiming at fake news detection within a piece of text or multimedia content (e.g. news articles, social media posts), the authors shift to characterization of the whole news media. In addition, the authors did a geographical shift from more researched US-based media to so far under-researched European context, particularly Central Europe. The results and conclusions can serve as a guide how to derive new features for an automatic detection of possibly partisan news media by means of artificial intelligence (AI). Peer review: The peer review history for this article is available at the following link: https://publons.com/publon/10.1108/OIR-10-2020-0441. © 2021, Emerald Publishing Limited.",other_method,10.1108/OIR-10-2020-0441,Central Europe;Content analysis;COVID-19;Hyperlink network analysis;Media profiling;Partisan online news media;Reliability analysis;Websites;Hyperlink network analyse;Hyperlink networks;Hyperlinks;Medium profiling;News media;Online news;Partisan online news medium;Hypertext systems;Europe,,
rayyan-1120387480,Narrative origin classification of israeli-palestinian conflict texts,2020,,,"Proceedings of the 33rd International Florida Artificial Intelligence Research Society Conference, FLAIRS 2020",,,,258-263,"Wei, J. and Santos, E.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102414297&partnerID=40&md5=340043873bcba078cc470ad7d1315a2e,,,,"The Israeli-Palestinian conflict is one of the most controversial in history. Not surprisingly, historic and contemporary literature on the topic tends to be polarized. Drawing inspiration from work in political ideology and hyperpartisan news detection, we collect two new datasets of history book excerpts and newspaper articles regarding the Israeli-Palestinian conflict and train sequence classifiers to predict whether a text is written by an Israeli or Palestinian source. Moreover, we find that data augmentation techniques improve performance, allowing our best model to detect narrative origin with an F1 score of 85.1% for history book excerpts and 91.9% for newspaper articles. Analysis of indicative phrases discovered by our models corroborate historian insight regarding the conflict. © FLAIRS 2020.All right reserved.",not_pertinent,,Classification (of information);History;Newsprint;Best model;Data augmentation;F1 scores;History books;Improve performance;Political ideologies;Artificial intelligence;Arabs,,
rayyan-1120387481,"Politicians-based Deep Learning Models for Detecting News, Authors and Media Political Ideology",2022,,,International Journal of Advanced Computer Science and Applications,,13,2,731-742,"Alzhrani, K.M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126124032&doi=10.14569%2fIJACSA.2022.0130286&partnerID=40&md5=18a358767549869172a169db55b9e8e4,,,,"Non-partisanship is one of the qualities that contribute to journalistic objectivity. Factual reporting alone cannot combat political polarization in the news media. News framing, agenda settings, and priming are influence mechanisms that lead to political polarization, but they are hard to identify. This paper attempts to automate the detection of two political science concepts in news coverage: politician personalization and political ideology. Politicians’ news coverage personalization is a concept that encompasses one more of the influence mechanisms. Political ideologies are often associated with controversial topics such as abortion and health insurance. However, the paper prove that politicians’ personalization is related to the political ideology of the news articles. Constructing deep neural network models based on politicians’ personalization improved the performance of political ideology detection models. Also, deep networks models could predict news articles’ politician personalization with a high F1 score. Despite being trained on less data, personalizedbased deep networks proved to be more capable of capturing the ideology of news articles than other non-personalized models. The dataset consists of two politician personalization labels, namely Obama and Trump, and two political ideology labels, Democrat and Republican. The results showed that politicians’ personalization and political polarization exist in news articles, authors, and media sources. © 2022, (IJACSA) International Journal of Advanced Computer Science and Applications. All Rights Reserved.",other_task,10.14569/IJACSA.2022.0130286,Deep neural networks;Political ideology;Politician personalization;Text classification;Classification (of information);Health insurance;Polarization;Text processing;Agenda settings;Influence mechanism;Learning models;News articles;News coverage;News media;Personalizations;Political ideologies;Learning,,
rayyan-1120387482,Team Fernando-Pessa at SemEval-2019 task 4: Back to basics in hyperpartisan news detection,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,999-1003,"Cruz, A.F. and Rocha, G. and Sousa-Silva, R. and Cardoso, H.L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083027921&partnerID=40&md5=dfab89edba9e37e598756c2f38e175eb,,,,"This paper describes our submission1 to the SemEval 2019 Hyperpartisan News Detection task. Our system aims for a linguistics-based document classification from a minimal set of interpretable features, while maintaining good performance. To this goal, we follow a feature-based approach and perform several experiments with different machine learning classifiers. On the main task, our model achieved an accuracy of 71.7%, which was improved after the task's end to 72.9%. We also participate in the meta-learning sub-task, for classifying documents with the binary classifications of all submitted systems as input, achieving an accuracy of 89.9%. © 2019 Association for Computational Linguistics",included,,Classification (of information);Information retrieval systems;Learning systems;Binary classification;Detection tasks;Document Classification;Feature based approaches;Main tasks;Metalearning;Performance;Subtask;Semantics,,
rayyan-1120387483,Team Bertha von Suttner at SemEval-2019 task 4: Hyperpartisan news detection using ELMo sentence representation convolutional network,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,840-844,"Jiang, Y. and Petrak, J. and Song, X. and Bontcheva, K. and Maynard, D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083038399&partnerID=40&md5=2c5a784ba62023b6f7e6bf6a45b00dd0,,,,"This paper describes the participation of team “bertha-von-suttner” in the SemEval2019 task 4 Hyperpartisan News Detection task. Our system1 uses sentence representations from averaged word embeddings generated from the pre-trained ELMo model with Convolutional Neural Networks and Batch Normalization for predicting hyperpartisan news. The final predictions were generated from the averaged predictions of an ensemble of models. With this architecture, our system ranked in first place, based on accuracy, the official scoring metric. © 2019 Association for Computational Linguistics",included,,Convolution;Convolutional neural networks;Semantics;Convolutional networks;Convolutional neural network;Detection tasks;Embeddings;Ensemble of models;Normalisation;Place-based;Scoring metrics;Forecasting,,
rayyan-1120387484,On document representations for detection of biased news articles,2020,,,Proceedings of the ACM Symposium on Applied Computing,,,,892-899,"Cruz, A.F. and Rocha, G. and Cardoso, H.L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083035044&doi=10.1145%2f3341105.3374025&partnerID=40&md5=f64dea3a63625a4d3f09d69eab03af8e,,,,"Detecting bias in text is an increasingly relevant topic, given the information overload problem. Automating this task is crucial for our needs of quality news consumption. With this in mind, we explore modern deep learning approaches, including contextualized word embeddings and attention mechanisms, to compare the effects of different document representation choices. We design token-wise, sentence-wise and hierarchical document representations. Focusing on hyperpartisan news detection, we show that hierarchical attention mechanisms are able to better capture information at different levels of granularity (including intra and inter-sentence), which seems to be relevant for this task. With an accuracy of 82.5%, our best performing system is based on an ensemble of hierarchical attention networks with ELMo embeddings, achieving state-of-the-art performance on the SemEval-2019 Task4 dataset. © 2020 ACM.",included,10.1145/3341105.3374025,Bias detection;Deep learning;Document representation;Hyperpartisan news;Natural language processing;Embeddings;Attention mechanisms;Document Representation;Hierarchical document;Information overloads;Learning approach;News articles;State-of-the-art performance;Bias (Epidemiology),,
rayyan-1120387485,The Sally Smedley Hyperpartisan News Detector at SemEval-2019 task 4: Learning classifiers with feature combinations and ensembling,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,1057-1061,"Hanawa, K. and Sasaki, S. and Ouchi, H. and Suzuki, J. and Inui, K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083038275&partnerID=40&md5=6210065e6a12aed9f8648389ad1882f8,,,,"This paper describes our system submitted to the formal run of SemEval-2019 Task 4: Hyperpartisan news detection. Our system is based on a linear classifier using several features, i.e., 1) embedding features based on the pre-trained BERT embeddings, 2) article length features, and 3) embedding features of informative phrases extracted from the by-publisher dataset. Our system achieved 80.9% accuracy on the test set for the formal run and got the 3rd place out of 42 teams. © 2019 Association for Computational Linguistics",included,,Classification (of information);Semantics;Embeddings;Feature combination;Feature-based;Learning classifiers;Linear classifiers;Test sets;Learning,,
rayyan-1120387486,Team Xenophilius Lovegood at SemEval-2019 task 4: Hyperpartisanship classification using convolutional neural networks,2019,,,"NAACL HLT 2019 - International Workshop on Semantic Evaluation, SemEval 2019, Proceedings of the 13th Workshop",,,,1047-1051,"Zehe, A. and Hettinger, L. and Ernst, S. and Hauptmann, C. and Hotho, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118542511&partnerID=40&md5=77305c7005873282c45d5672f1075bd1,,,,"This paper describes our system for the SemEval 2019 Task 4 on hyperpartisan news detection. We build on an existing deep learning approach for sentence classification based on a Convolutional Neural Network. Modifying the original model with additional layers to increase its expressiveness and finally building an ensemble of multiple versions of the model, we obtain an accuracy of 67.52 % and an F1 score of 73.78 % on the main test dataset. We also report on additional experiments incorporating handcrafted features into the CNN and using it as a feature extractor for a linear SVM. © 2019 Association for Computational Linguistics",included,,Classification (of information);Convolutional neural networks;Deep learning;Semantics;Statistical tests;Support vector machines;Additional experiments;Convolutional neural network;F1 scores;Feature extractor;Learning approach;Linear SVM;Original model;Sentence classifications;Convolution;Nerve Net;Neural Networks (Computer),,
